addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,showflag,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
강원특별자치도 원주시 소금산길 12,,32,A02,A0202,A02020700,126644,12,20030328090000,http://tong.visitkorea.or.kr/cms/resource/72/3388672_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/72/3388672_image3_1.JPG,Type3,127.8340575195,37.3646293574,6,20250704174612,9,,간현관광지,26359,1,51,130,VE,VE03,VE030500
강원특별자치도 강릉시 연곡면 영진길 63,,32,A05,A0502,A05020900,2685459,39,20201125013357,http://tong.visitkorea.or.kr/cms/resource/78/2684778_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2684778_image2_1.jpg,Type3,128.8430040037,37.8703733430,6,20240730225443,1,010-9110-1874,갈매기다방,25429,1,51,150,FD,FD05,FD050100
전라남도 보성군 웅치면 일림로 530-26,,38,A01,A0101,A01010700,3018842,12,20231010141325,http://tong.visitkorea.or.kr/cms/resource/19/3018819_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/3018819_image3_1.jpg,Type3,127.0538844612,34.7020883495,6,20250812175635,10,,갈멜정원,59449,1,46,780,NA,NA04,NA040700
충청남도 태안군 근흥면 정죽리,산 147-46,34,A01,A0101,A01011200,127311,12,20031211090000,http://tong.visitkorea.or.kr/cms/resource/10/3340710_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/3340710_image3_1.jpg,Type3,126.1520087212,36.6957489937,6,20250319184428,14,,갈음이해수욕장,32131,1,44,825,NA,NA02,NA020900
경기 파주시 적성면 설마천로 238,,,,,,2569511,12,20181125013058,https://tong.visitkorea.or.kr/cms/resource/73/3494673_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/73/3494673_image3_1.jpg,Type3,126.947116,37.937772,6,20260309093631,,,감악산 출렁다리,10805,1,41,480,VE,VE01,VE010300
경상남도 거창군 신원면 연수사길 452,,,,,,1576464,12,20120323200137,https://tong.visitkorea.or.kr/cms/resource/93/4007893_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/93/4007893_image3_1.jpg,Type1,127.91750830310363,35.58962170225394,6,20260313163100,,,감악산(거창),50153,1,48,880,NA,NA01,NA010100
강원특별자치도 춘천시 신북읍 신샘밭로 674,,,,,,2807380,39,20220216151441,,,,127.78452037852077,37.92959102272685,6,20260304100426,,,감자밭,24204,1,51,110,FD,FD05,FD050100
서울특별시 강남구 언주로151길 8 (신사동),1층,,,,,4011574,38,20260204172230,https://tong.visitkorea.or.kr/cms/resource/93/4043993_image2_1.png,https://tong.visitkorea.or.kr/cms/resource/93/4043993_image3_1.png,Type3,127.032562845938,37.5222385760073,,20260327092150,,,감탄 도산공원 스토어,06026,1,11,680,SH,SH04,SH040300
경상북도 경주시 감포읍 감포로,감포리,35,A01,A0101,A01011400,128677,12,20051121090000,http://tong.visitkorea.or.kr/cms/resource/78/3537978_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/3537978_image3_1.jpg,Type1,129.5040374805,35.8078329413,6,20251114172124,2,,감포항,"780-830,1",1,47,130,NA,NA02,NA020700
제주특별자치도 서귀포시 표선면 가시리,,39,A01,A0101,A01010400,1887866,12,20140122185007,http://tong.visitkorea.or.kr/cms/resource/45/3523545_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/3523545_image3_1.jpg,Type3,126.7818122232,33.3608276172,6,20250819162426,3,,갑선이오름,63623,1,50,130,NA,NA01,NA010100
충청남도 논산시 채운면 삼거리,,34,A02,A0201,A02010700,1627011,12,20120510190424,http://tong.visitkorea.or.kr/cms/resource/16/3577116_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/3577116_image3_1.jpg,Type1,127.0319493430,36.1528570080,6,20251216163057,3,,강경미내다리,32944,1,44,230,HS,HS01,HS011200
경상북도 영덕군 강구면 강구리,,,,,,988459,12,20100330033830,https://tong.visitkorea.or.kr/cms/resource/97/3014897_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/97/3014897_image3_1.jpg,Type1,129.3913,36.3588,6,20260305095851,,,강구항 대게거리,36455,1,47,770,NA,NA02,NA020700
서울특별시 강남구 강남대로 406 (역삼동),글라스타워 1층,,,,,4008130,38,20260129012603,https://tong.visitkorea.or.kr/cms/resource/04/4021304_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/04/4021304_image3_1.jpg,Type3,127.027637005361,37.4989106629232,,20260316103559,,,강남 센트럴 약국,06134,1,11,680,SH,SH04,SH040300
서울특별시 서초구 강남대로 435 (서초동),1층,,,,,4025601,38,20260227101228,https://tong.visitkorea.or.kr/cms/resource/15/4043515_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/15/4043515_image3_1.jpg,Type3,127.025561030522,37.5011776111829,,20260327092150,,,강남드림약국,06612,1,11,650,SH,SH04,SH040300
서울특별시 서초구 서초대로77길 17 (서초동),,,,,,4025660,38,20260227103131,https://tong.visitkorea.or.kr/cms/resource/46/4045946_image2_1.png,https://tong.visitkorea.or.kr/cms/resource/46/4045946_image3_1.png,Type3,127.025752388871,37.4995535963247,,20260327092150,,,강남엔비의원,06614,1,11,650,SH,SH04,SH040300
서울특별시 강남구 테헤란로 101 (역삼동),이즈타워 4층,,,,,4011645,38,20260204180054,https://tong.visitkorea.or.kr/cms/resource/60/4042060_image2_1.png,https://tong.visitkorea.or.kr/cms/resource/60/4042060_image3_1.png,Type3,127.028065727387,37.4986232309429,,20260326092041,,,강남연세라인의원,06134,1,11,680,SH,SH04,SH040300
서울특별시 강남구 강남대로160길 50 (신사동),B1층,,,,,3305292,38,20240202161127,https://tong.visitkorea.or.kr/cms/resource/39/4020439_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/39/4020439_image3_1.jpg,Type3,127.02261572553,37.5204529495391,6,20260316105417,,0507-1305-1876,강남중고명품 아마레스,06034,1,11,680,SH,SH04,SH040300
서울특별시 강남구 압구정로54길 6 (신사동),,,,,,4011566,38,20260204171704,https://tong.visitkorea.or.kr/cms/resource/70/4022070_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/70/4022070_image3_1.jpg,Type3,127.039507893974,37.5275332691592,,20260319094959,,,강남중고명품매입블루,06018,1,11,680,SH,SH04,SH040300
울산광역시 북구 산하동 952-1번지 일원,(산하동),7,A01,A0101,A01011100,772462,12,20090729233001,http://tong.visitkorea.or.kr/cms/resource/89/3538989_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/89/3538989_image3_1.png,Type3,129.4424755991,35.6341985442,6,20251121130255,4,,강동 화암 주상절리,44264,1,31,200,NA,NA02,NA020800
울산광역시 북구 산하동,,7,A01,A0101,A01011200,128199,12,20071001090000,http://tong.visitkorea.or.kr/cms/resource/23/3048823_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3048823_image3_1.jpg,Type3,129.4423980082,35.6278381472,6,20250731153033,4,,강동몽돌해변 (정자해변),44264,1,31,200,NA,NA02,NA020900
강원특별자치도 강릉시 해안로621번길 12 (안현동),,32,B02,B0201,B02010700,2913612,32,20221107190841,http://tong.visitkorea.or.kr/cms/resource/01/2920201_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2920201_image3_1.jpg,Type3,128.8980175220,37.8118978545,6,20240731092143,1,,강릉 로뎀나무 펜션,25459,1,51,150,AC,AC03,AC030100
강원특별자치도 강릉시 명주동,,,,,,2628994,12,20191022233650,,,,128.892696835391,37.7510828841203,6,20260318101005,,,강릉 명주동 거리,25538,1,51,150,VE,VE04,VE040100
강원특별자치도 강릉시 견소동,287-6,,,,,2706354,12,20210218014108,https://tong.visitkorea.or.kr/cms/resource/09/3378409_image2_1.JPG,https://tong.visitkorea.or.kr/cms/resource/09/3378409_image3_1.JPG,Type3,128.945118827483,37.7742755493868,6,20260311100340,,,강릉 안목해맞이공원,25556,1,51,150,VE,VE03,VE030100
강원특별자치도 강릉시 금성로11번길 9,,,,,,2588752,12,20190117231019,https://tong.visitkorea.or.kr/cms/resource/49/2921849_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/49/2921849_image3_1.jpg,Type3,128.897418452855,37.755846288051,6,20260313132334,,,강릉 월화거리,25542,1,51,150,VE,VE04,VE040100
강원특별자치도 강릉시 금성로13번길 17 (성남동),,32,A05,A0502,A05020900,3537206,39,20250915162318,,,,128.9001719187,37.7533574475,6,20250915162331,1,0507-1333-6812,강릉 중화짬뽕빵,25543,1,51,150,FD,FD05,FD050100
강원특별자치도 강릉시 창해로 283 (강문동),,32,A05,A0502,A05020100,3536570,39,20250912170637,,,,128.9228132064,37.7894287164,6,20250912170711,1,033-652-9289,강릉 한우타운,25467,1,51,150,FD,FD01,FD010100
강원특별자치도 강릉시 난설헌로 203-18 (초당동),,32,A05,A0502,A05020100,3544073,39,20250925103707,,,,128.9126695775,37.7925975964,6,20251023143000,1,033-642-1331,강릉김군박군횟집,25466,1,51,150,FD,FD01,FD010100
강원특별자치도 강릉시 안반데기1길 203,,,,,,2930702,12,20221206145801,https://tong.visitkorea.or.kr/cms/resource/04/3500804_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/04/3500804_image3_1.jpg,Type3,128.740024321065,37.6087388200507,6,20260312090840,,033-644-8552,강릉안반데기관광농원,25642,1,51,150,EX,EX03,EX030300
강원특별자치도 강릉시 창해로14번길 20-1,,,,,,2414791,12,20160909234953,https://tong.visitkorea.or.kr/cms/resource/93/3557693_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/93/3557693_image3_1.jpg,Type1,128.947321445483,37.7725952413582,6,20260313111651,,,강릉커피거리,25556,1,51,150,VE,VE04,VE040100
강원특별자치도 강릉시 창해로14번길 55-11,,,,,,2731193,12,20210805024757,https://tong.visitkorea.or.kr/cms/resource/82/2921882_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/82/2921882_image3_1.jpg,Type3,128.9517207,37.7713509,6,20260318101005,,,강릉항,25556,1,51,150,NA,NA02,NA020700
강원특별자치도 강릉시 해안로406번길 2 (강문동),,,,,,2721544,12,20210616230937,,,,128.9165,37.798,6,20260312173017,,,강문솟대다리,25460,1,51,150,VE,VE01,VE010300
강원특별자치도 강릉시 창해로 352,,,,,,585522,12,20080711004826,https://tong.visitkorea.or.kr/cms/resource/85/2921985_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/85/2921985_image3_1.jpg,Type3,128.91901514704,37.7947975418039,6,20260313113043,,,강문해변,25467,1,51,150,NA,NA02,NA020900
강원특별자치도 춘천시 신북읍 신샘밭로 621,,32,A05,A0502,A05020100,2913332,39,20221107190502,http://tong.visitkorea.or.kr/cms/resource/66/2919866_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2919866_image3_1.jpg,Type3,127.7785570070,37.9304293643,6,20240730222425,13,,강산숯불닭갈비막국수,24204,1,51,110,FD,FD01,FD010100
강원특별자치도 춘천시 남산면 충효로 437,,,,,,2705409,12,20210204182038,https://tong.visitkorea.or.kr/cms/resource/84/3082584_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/84/3082584_image3_1.jpg,Type3,127.66201933849,37.7364332304084,6,20260331132259,,,강아지숲,24466,1,51,110,VE,VE02,VE020100
강원특별자치도 춘천시 서면 신매리,68-4,32,A02,A0205,A02050200,128778,12,20060209090000,http://tong.visitkorea.or.kr/cms/resource/36/3381636_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/36/3381636_image3_1.JPG,Type3,127.7130161606,37.9167408445,6,20250319152657,13,,강원 경찰충혼탑,24460,1,51,110,HS,HS02,HS020100
강원특별자치도 고성군 토성면 잼버리로 244,,32,A03,A0302,A03020200,131169,28,20021126090000,,,,128.4976743306,38.2226840374,6,20250905131324,2,,강원특별자치도 세계잼버리 수련장,24766,1,51,820,VE,VE10,VE100200
강원도 양양군 서면 상평1길 17-2,,32,B02,B0201,B02010700,2913613,32,20221107190932,http://tong.visitkorea.or.kr/cms/resource/11/2920211_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2920211_image3_1.jpg,Type3,128.5834630497,38.0669343765,6,20230109110418,7,,강이네하우스,25035,0,,,,,
경기도 여주시 강천면 강천리길 88-60,,31,A01,A0101,A01011300,3018216,12,20231005162807,http://tong.visitkorea.or.kr/cms/resource/38/3547138_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/3547138_image3_1.jpg,Type1,127.6980569614,37.2320949397,6,20251023143000,20,,강천섬유원지,12664,1,41,670,NA,NA02,NA020500
강원특별자치도 춘천시 신동면 김유정로 1383,,32,A03,A0302,A03022700,1947118,28,20140911235714,http://tong.visitkorea.or.kr/cms/resource/48/2739748_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/48/2739748_image3_1.jpeg,Type3,127.7121497907,37.8157136906,6,20251031105340,13,,강촌레일파크(김유정레일바이크),24412,1,51,110,LS,LS01,LS011900
강원특별자치도 춘천시 남산면 서백길 57,,32,A03,A0302,A03022700,2774559,28,20211116005257,,,,127.5507192399,37.8428714255,6,20251027162507,13,,강촌레일파크경강레일바이크,24464,1,51,110,LS,LS01,LS011900
강원특별자치도 춘천시 남산면 강촌로 250,,32,B02,B0201,B02010700,2913427,32,20221107185933,http://tong.visitkorea.or.kr/cms/resource/06/2920006_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2920006_image3_1.jpg,Type3,127.6393291693,37.7976922103,6,20240731092045,13,,강촌잠빌펜션,24465,1,51,110,AC,AC03,AC030100
인천광역시 강화군 화도면 해안남로 1481,,,,,,127291,12,20060302090000,https://tong.visitkorea.or.kr/cms/resource/37/3501337_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/37/3501337_image3_1.jpg,Type1,126.457049441181,37.5932371251479,6,20260309162343,,,강화 동막해변,23062,1,28,710,NA,NA02,NA020900
인천광역시 강화군 강화읍 월곳리 242,,,,,,129610,12,20070713090000,https://tong.visitkorea.or.kr/cms/resource/97/4041297_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/97/4041297_image3_1.jpg,Type3,126.511836312071,37.7708274897435,6,20260319160001,,,강화 연미정,23021,1,28,710,HS,HS01,HS011200
인천광역시 강화군 강화읍 관청길27번길 10,,2,A02,A0203,A02030400,2684765,12,20201123224639,http://tong.visitkorea.or.kr/cms/resource/13/3537413_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/3537413_image3_1.jpg,Type1,126.4861109075,37.7484743032,6,20250916145736,1,,강화 원도심 스토리워크,23031,1,28,710,EX,EX07,EX070200
인천광역시 강화군 길상면 전등사로 37-41,,,,,,125534,12,20040224090000,,,,126.482901392044,37.6316384449525,6,20260227093643,,,강화 전등사,23050,1,28,710,HS,HS03,HS030100
인천광역시 강화군 길상면 장흥로 217,,,,,,2612802,12,20190724222817,,,,126.4981147248393,37.617122026781765,6,20260227100337,,,강화루지(강화씨사이드리조트),23052,1,28,710,EX,EX07,EX070200
강원특별자치도 원주시 천매봉길 20-9,,32,A05,A0502,A05020900,2913283,39,20221107184620,http://tong.visitkorea.or.kr/cms/resource/16/2919416_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2919416_image3_1.jpg,Type3,127.9440738019,37.3229501024,6,20240730224813,9,,개고생,26483,1,51,130,FD,FD05,FD050100
울산광역시 울주군 서생면 홍골들길 41,,7,A02,A0202,A02020600,3112041,12,20240328194726,,,,129.3244296482,35.3627184808,6,20260328043000,5,052-237-0222,개들랜드,45014,0,31,710,VE,VE02,VE020100
인천광역시 계양구 다남로 278 (목상동),,2,A05,A0502,A05020900,2848931,39,20220905111521,http://tong.visitkorea.or.kr/cms/resource/76/2848776_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2848776_image3_1.jpg,Type3,126.7089010642,37.5703323291,6,20251023143000,2,,개떼놀이터 인천점,21014,1,28,245,FD,FD05,FD050100
강원특별자치도 강릉시 구정면 구정중앙로 155-8,,32,A05,A0502,A05020900,2913251,39,20221107184422,http://tong.visitkorea.or.kr/cms/resource/64/2919164_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2919164_image3_1.jpg,Type3,128.8737699532,37.7141086940,6,20240730222324,1,,개버랜드,25622,1,51,150,FD,FD05,FD050100
강원특별자치도 강릉시 성산면 위촌길 299,,32,A05,A0502,A05020700,2913269,39,20221107184758,http://tong.visitkorea.or.kr/cms/resource/77/2919277_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2919277_image3_1.jpg,Type3,128.8364719082,37.7596277039,6,20240730225322,1,,개스토랑in위촌길299,25447,1,51,150,FD,FD02,FD020500
울산광역시 남구 성암동,,7,A02,A0201,A02010200,3385851,12,20241011151910,http://tong.visitkorea.or.kr/cms/resource/56/3385656_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/3385656_image3_1.jpg,Type3,129.3426304352,35.4763394037,6,20251120163656,2,,개운포성지,44784,1,31,140,HS,HS01,HS010200
인천광역시 중구 관동1가,,,,,,947611,12,20100210030556,https://tong.visitkorea.or.kr/cms/resource/52/3518552_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/52/3518552_image3_1.jpg,Type1,126.62099232188,37.4728824965708,6,20260312153433,,,개항장 거리,22315,1,28,110,HS,HS01,HS011100
충청남도 보령시 성주면 성주산로 673-47,,34,A02,A0202,A02020700,129439,12,20070302090000,http://tong.visitkorea.or.kr/cms/resource/92/3560492_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/3560492_image3_1.jpg,Type1,126.6585619211,36.3133182941,6,20251103173237,5,,개화예술공원,33486,1,44,180,VE,VE03,VE030500
서울특별시 종로구 윤보선길 71 (화동),B1층,,,,,4025838,38,20260227131054,https://tong.visitkorea.or.kr/cms/resource/86/4041986_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/86/4041986_image3_1.jpeg,Type3,126.983293367928,37.5791818260863,,20260326092041,,,갤러리71,03061,1,11,110,SH,SH04,SH040300
경상남도 진주시 진주대로 1095 (평안동),,,,,,2909297,38,20221030214226,https://tong.visitkorea.or.kr/cms/resource/36/4019736_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/36/4019736_image3_1.jpg,Type3,128.082322184482,35.1967109130245,6,20260319094959,,,갤러리아백화점 진주점,52683,1,48,170,SH,SH04,SH040300
대전광역시 서구 대덕대로 211 (둔산동),,,,,,2911526,38,20221030222535,https://tong.visitkorea.or.kr/cms/resource/03/4017503_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/03/4017503_image3_1.jpg,Type3,127.378167047167,36.3519543043064,6,20260316103559,,1544-6600,갤러리아백화점 타임월드점,35229,1,30,170,SH,SH04,SH040300
경기도 수원시 팔달구 덕영대로 924 (매산로1가),4층,,,,,4011490,38,20260204161917,https://tong.visitkorea.or.kr/cms/resource/26/4024726_image2_1.jpeg,https://tong.visitkorea.or.kr/cms/resource/26/4024726_image3_1.jpeg,Type3,127.000179930083,37.2655920786365,,20260330091611,,,갤럭시 AK플라자 수원점,16622,1,41,115,SH,SH04,SH040300
